book_id,author,book_name
12,Douglas Adams,The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story
13,Douglas Adams,The Ultimate Hitchhiker's Guide to the Galaxy
18,Douglas Adams,The Ultimate Hitchhiker's Guide
22,Bill Bryson,Bill Bryson's African Diary
24,Bill Bryson,In a Sunburned Country
25,Bill Bryson,I'm a Stranger Here Myself: Notes on Returning to America After Twenty Years Away
26,Bill Bryson,The Lost Continent: Travels in Small-Town America
27,Bill Bryson,Neither Here nor There: Travels in Europe
28,Bill Bryson,Notes from a Small Island
29,Bill Bryson,The Mother Tongue: English and How It Got That Way
30,J.R.R. Tolkien,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings
36,Chris Smith,The Lord of the Rings: Weapons and Warfare
40,James Hamilton-Paterson,Cooking with Fernet Branca
53,Gary Paulsen,Guts: The True Stories behind Hatchet and the Brian Books
59,Patricia A. McKillip,The Changeling Sea
67,Edward P. Jones,The Known World
75,John McPhee,Uncommon Carriers
77,John McPhee,The Control of Nature
78,John McPhee,Annals of the Former World
79,John McPhee,Coming Into the Country
83,John McPhee,Rising from the Plains
86,Wendy Wasserstein,The Heidi Chronicles: Uncommon Women and Others & Isn't It Romantic
93,Johanna Spyri,Heidi
98,Heidi Murkoff,What to Expect the First Year
104,Frank Herbert,Dune
110,Frank Herbert,The Road to Dune
112,Frank Herbert,Children of Dune
119,Gary Russell,The Art of The Fellowship of the Ring
122,Bryce Courtenay,The Power of One
151,Leo Tolstoy,Anna Karenina
162,Mulk Raj Anand,Untouchable
163,John Banville,The Untouchable
205,Charles Todd,A Long Shadow
208,Daniel Abraham,A Shadow in Summer
213,Charles Willeford,New Hope for the Dead
216,Charles Willeford,Miami Blues
231,Tom Wolfe,I Am Charlotte Simmons
246,Henry Miller,The Colossus of Maroussi
247,Henry Miller,Quiet Days in Clichy
249,Henry Miller,Tropic of Cancer
250,Henry Miller,Tropic of Capricorn
251,Henry Miller,Nexus
252,Henry Miller,Sexus
253,Henry Miller,The Air-Conditioned Nightmare
264,Henry James,The Portrait of a Lady
275,Marguerite Duras,The Lover
280,Marguerite Duras,The Ravishing of Lol Stein
295,Robert Louis Stevenson,Treasure Island
304,George Eliot,Daniel Deronda
320,Gabriel Garcia Marquez,One Hundred Years of Solitude
